# Pickles 1998
# Habets 1981
# Solar units except Teff (K), rotperiod in days
#SpType            teff          lumi         rad      mass      Mbol    rotperiod
#|S9            float64       float64     float64   float64   float64      float64
    A0I     9727.472238  38019.108998   68.832205  1.500000 -6.700000  3481.448201
    A2I     9078.205302  38019.108998   79.029945  1.500000 -6.700000  3997.237360
    F0I     7691.304403  34673.839508  105.145740  1.500000 -6.600000  5318.142106
    F5I     6637.430704  34673.839508  141.186016  1.500000 -6.600000  7141.014878
    F8I     6095.368972  34673.839508  167.413965  1.500000 -6.600000  8467.592272
    G0I     5508.076964  34673.839508  205.017854  1.500000 -6.600000 10369.550666
    G2I     5296.634439  31622.917474  211.734527  1.500000 -6.500000 10709.271722
    G5I     5046.612976  31622.917474  233.233904  1.500000 -6.500000 11796.683779
    G8I     4591.980128  31622.917474  281.703136  1.500000 -6.500000 14248.197877
    K2I     4255.984131  34673.839508  343.393193  1.500000 -6.600000 17368.405015
    K3I     4130.475020  34673.839508  364.579028  1.500000 -6.600000 18439.958440
    K4I     3990.249024  38019.108998  409.064397  1.500000 -6.700000 20689.973666
    M2I     3451.437393 165959.430051 1142.330263  1.500000 -8.300000 57777.658537
