# CALIBRATION DONE VIA bohlin-MODEL of VEGA
# ----------------------------------- NOTES ON INDIVIDUAL SYSTEMS  -------
# ----------------------------------- can be important!!!          -------
#
# Johnson calibration from Asagio A&A card (Vega from UBVRIJKLMNH Photo-electric Catalogue, Morel et al., 1978)
# Landolt UBVRI from synphot http://www.stsci.edu/hst/HST_overview/documents/synphot/c034.html#335184
#    references in synphot are Bohlin & Gilliland (2004), Maíz Apellániz (2006), Holberg & Bergeron (2006)
# TD1 calibration derived myself
# SDSS calibration from site above, but VEGA mags from Holberg & Bergeron 2006, compatible with http://www.sdss.org/dr6/algorithms/sdssUBVRITransform.html
# GALEX from http://galexgi.gsfc.nasa.gov/docs/galex/FAQ/counts_background.html
#   ---> make sure to take the GALEX calibration from the literature, this is much safer I guess
# GAIA Calibrations are pre-launch and thus only for simulation purposes
# MIPS from Rieke et al, 2006 or Engelbrach (ssc.spitzer.caltech.edu/mips/calib)
#      Be careful, IRAC and MIPS calibrations are not for the 'weighted average'
#      flux, but com readily from the calibration tables.
#      Here, the lambda_eff is calculated as the weighted average of the
#      response curve
# BESSEL response curves from CHORIZOS, zeropoints from Bessel, 1990
# IPHAS is defined as 0 magnitude for r', i' and Ha band for Vega (Drew et al., 2005)
# UVEX is defined as 0 magnitude in all bands (Paul Groot, priv. comm.)
# WISE zeropoints defined in Wright 2010 ""zeropoints on the Vega system in the WISE passbands of Flam = 8.180e−15, 2.415e−15, 6.515e−17 & 5.090e−18 W/cm2/µm, which convert""
# STROMGREN calibration from Maiz-Apellaniz (2007) (used to be from synphot user guide and earlier from Asagio A&A card)
#    ----> used to be STROMGREN   U   3.25e-09   0   0   0   1.288   1.06679608688e-08   
#                     STROMGREN   V   7.18e-09   0   0   0   0.040   7.57261249786e-09   
#                     STROMGREN   B   5.81e-09   0   0   0   -0.120   5.11028586313e-09   
#                     STROMGREN   Y   3.70e-09   0   0   0   -0.123   3.20363998209e-09
#    ----> SYNPHOT: STROMGREN   U   3.25e-09   0   0   0   1.459   1.24876700135e-08   
#                   STROMGREN   V   7.18e-09   0   0   0   0.206   8.82359841247e-09   
#                   STROMGREN   B   5.81e-09   0   0   0   0.045   5.949016791e-09   
#                   STROMGREN   Y   3.70e-09   0   0   0   0.038   3.71572620327e-09
#    ----> MAIZ-APELLANIZ: STROMGREN   U   -   0   0   0   1.432   -
#                          STROMGREN   V   -   0   0   0   0.179   -
#                          STROMGREN   B   -   0   0   0   0.018   -
#                          STROMGREN   Y   -   0   0   0   0.014   -
#=================================
# THE FOLLOWING SYSTEMS HAVE BEEN THOROUGHLY CHECKED (both zeropoints and magnitude)
#
#- STROMGREN (Maiz-Apellaniz 2007, Chorizos)
#- 2MASS     (Maiz-Apellaniz 2007, Chorizos)
#- SDSS      (Maiz-Apellaniz 2007, Chorizos)
#- TYCHO2    (Maiz-Apellaniz 2007, Chorizos)
#- COUSINS   (Maiz-Apellaniz 2007, Chorizos)
#- LANDOLT   (SYNPHOT, but confusion between B2 and B3 (same zeropoint assumed))
#- GENEVA    (Rufener database and GCPD)
#- BESSELL   (Bessel, 1990)  #-- but based on old Vega model (1980, see paper): Use colors (otherwise ZP(B)=-0.102)
#
#
# THE FOLLOWING SYSTEMS ARE VERY UNCERTAIN
#- JOHNSON
#=================================
#passband         eff_wave type transmission   vegamag vegamag_lit ABmag ABmag_lit STmag STmag_lit       Flam0 Flam0_units Flam0_lit        Fnu0 Fnu0_units   Fnu0_lit source                                                               
#|S50                  >f8 |S3  >f8                >f8       int32   >f8     int32   >f8     int32         >f8 |S50            int32         >f8 |S50            int32 |S100                                                                
 DIRBE.F140    1.47889e+06 BOL  0.0                nan           0   nan         0   nan         0 2.72082e-18 erg/s/cm2/AA         0 1.94504e-24 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F1_25       12666.1 BOL  0.0                nan           0   nan         0   nan         0 2.93465e-10 erg/s/cm2/AA         0 1.56131e-20 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F240    2.47856e+06 BOL  0.0                nan           0   nan         0   nan         0 3.86145e-19 erg/s/cm2/AA         0 7.24944e-25 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F25          207909 BOL  0.0                nan           0   nan         0   nan         0 7.10896e-15 erg/s/cm2/AA         0 1.00527e-22 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F2_2        22201.2 BOL  0.0                nan           0   nan         0   nan         0 3.92138e-11 erg/s/cm2/AA         0 6.43052e-21 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F3_5          35338 BOL  0.0                nan           0   nan         0   nan         0  6.9399e-12 erg/s/cm2/AA         0  2.8721e-21 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F4_9        48826.3 BOL  0.0                nan           0   nan         0   nan         0 1.94259e-12 erg/s/cm2/AA         0 1.54205e-21 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F60          560906 BOL  0.0                nan           0   nan         0   nan         0 1.41579e-16 erg/s/cm2/AA         0 1.44511e-23 erg/s/cm2/Hz        0 nan                                                                  
 ESOIR.BRG           21610 CCD  0.0                  0           1   nan         0   nan         0    4.38e-13 W/m2/nm             1         683 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.CO            22910 CCD  0.0                  0           1   nan         0   nan         0    3.54e-13 W/m2/nm             1         619 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.H0          15398.2 CCD  0.0                  0           1   nan         0   nan         0    1.37e-12 W/m2/nm             1        1140 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.K0            22210 CCD  0.0                  0           1   nan         0   nan         0    3.97e-13 W/m2/nm             1         653 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.L0            37060 CCD  0.0                  0           1   nan         0   nan         0    5.78e-14 W/m2/nm             1         265 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.N            114659 CCD  0.0                  0           1   nan         0   nan         0    1.29e-15 W/m2/nm             1        41.7 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.N            114659 CCD  0.0                  0           1   nan         0   nan         0    1.09e-16 W/m2/nm             1        12.3 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.N1            83610 CCD  0.0                  0           1   nan         0   nan         0     2.5e-15 W/m2/nm             1        57.8 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.N2            97870 CCD  0.0                  0           1   nan         0   nan         0     1.4e-15 W/m2/nm             1        43.5 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.N3           128190 CCD  0.0                  0           1   nan         0   nan         0    4.64e-16 W/m2/nm             1        25.3 Jy                  1 van_Der_Bliek_1996                                                   
 GAIA.BP           5437.48 CCD  0.0               0.03           1   nan         0   nan         0 3.66471e-09 erg/s/cm2/AA         0 3.59649e-20 erg/s/cm2/Hz        0 nan                                                                  
 GAIA.G            6710.93 CCD  0.0               0.03           1   nan         0   nan         0 2.18634e-09 erg/s/cm2/AA         0 3.19934e-20 erg/s/cm2/Hz        0 nan                                                                  
 GAIA.RP           7979.59 CCD  0.0               0.03           1   nan         0   nan         0 1.19528e-09 erg/s/cm2/AA         0 2.50633e-20 erg/s/cm2/Hz        0 nan                                                                  
 GAIA.RVS          8597.12 CCD  0.0               0.03           1   nan         0   nan         0 8.99474e-10 erg/s/cm2/AA         0 2.21745e-20 erg/s/cm2/Hz        0 nan                                                                  
 GALEX.FUV         1538.62 CCD  0.0                nan           0 0.029         1   nan         0 4.72496e-08 erg/s/cm2/AA         1 3.73113e-20 erg/s/cm2/Hz        0 http://galexgi.gsfc.nasa.gov/docs/galex/FAQ/counts_background.html   
 GALEX.NUV         2315.66 CCD  0.0                nan           0 0.095         1   nan         0 2.21466e-08 erg/s/cm2/AA         1 3.96129e-20 erg/s/cm2/Hz        0 http://galexgi.gsfc.nasa.gov/docs/galex/FAQ/counts_background.html   
 GENEVA.B          4200.85 CCD  0.0             -0.898           1   nan         0   nan         0 6.51814e-09 erg/s/cm2/AA         0 3.88163e-20 erg/s/cm2/Hz        0 Rufener1988                                                          
 GENEVA.B1         4003.78 CCD  0.0              0.002           1   nan         0   nan         0 6.58414e-09 erg/s/cm2/AA         0 3.55999e-20 erg/s/cm2/Hz        0 Rufener1988                                                          
 GENEVA.B2         4477.56 CCD  0.0              0.612           1   nan         0   nan         0 6.20794e-09 erg/s/cm2/AA         0 4.15097e-20 erg/s/cm2/Hz        0 Rufener1988                                                          
 GENEVA.G          5765.89 CCD  0.0               1.27           1   nan         0   nan         0 3.11095e-09 erg/s/cm2/AA         0    3.44e-20 erg/s/cm2/Hz        0 Rufener1988                                                          
 GENEVA.U          3421.62 CCD  0.0              0.607           1   nan         0   nan         0 3.22328e-09 erg/s/cm2/AA         0 1.26454e-20 erg/s/cm2/Hz        0 Rufener1988                                                          
 GENEVA.V           5482.6 CCD  0.0              0.061           1   nan         0   nan         0 3.61964e-09 erg/s/cm2/AA         0 3.65226e-20 erg/s/cm2/Hz        0 Rufener1988                                                          
 GENEVA.V1         5395.63 CCD  0.0              0.764           1   nan         0   nan         0 3.78179e-09 erg/s/cm2/AA         0 3.69382e-20 erg/s/cm2/Hz        0 Rufener1988                                                          
 HIPPARCOS.HP      5275.11 CCD  0.0              0.026           1   nan         0   nan         0 4.06145e-09 erg/s/cm2/AA         0 3.67714e-20 erg/s/cm2/Hz        0 ASIAGO(same_as_JOHNSON.V)                                            
 IPHAS.HA          6568.06 CCD  0.0                  0           1   nan         0   nan         0 1.81344e-09 erg/s/cm2/AA         0 2.60944e-20 erg/s/cm2/Hz        0 Drew_etal.2005                                                       
 IPHAS.IP          7671.27 CCD  0.0                  0           1   nan         0   nan         0 1.30528e-09 erg/s/cm2/AA         0 2.55384e-20 erg/s/cm2/Hz        0 Drew_etal.2005                                                       
 IPHAS.RP          6216.15 CCD  0.0                  0           1   nan         0   nan         0 2.47671e-09 erg/s/cm2/AA         0 3.23745e-20 erg/s/cm2/Hz        0 Drew_etal.2005                                                       
